Company,TypeName,Ram,Weight,Price,TouchScreen,Ips,Ppi,Cpu_brand,HDD,SSD,Gpu_brand,Os
Dell,Workstation,16.0,,12.000095897837827,,0.0,282.42399616439724,Other Intel Processor,1000.0,256.0,Nvidia,Windows
Lenovo,Gaming,16.0,2.4,11.21835894902589,0.0,0.0,141.21199808219862,Intel Core i7,0.0,512.0,Nvidia,Others
Dell,Notebook,6.0,2.3,10.060060439307303,1.0,0.0,100.45466986113652,Intel Core i3,1000.0,0.0,Intel,Windows
Dell,Ultrabook,8.0,1.21,11.550632725739694,,1.0,331.2642361026012,Intel Core i7,0.0,256.0,Intel,Windows
Dell,Ultrabook,8.0,1.2,11.254189968552817,0.0,0.0,165.6321180513006,Intel Core i7,0.0,256.0,Intel,Windows
Lenovo,Notebook,8.0,2.2,10.367478139624737,0.0,0.0,100.45466986113652,Intel Core i5,,256.0,Intel,Windows
Acer,Notebook,8.0,2.4,10.633572072102885,0.0,0.0,141.21199808219862,Intel Core i7,1000.0,0.0,Nvidia,Others
Asus,Gaming,16.0,2.9,11.224776083346525,0.0,0.0,127.33567457123112,Intel Core i7,1000.0,256.0,Nvidia,Windows
HP,Notebook,,2.1,9.83063294843456,0.0,0.0,141.21199808219862,Intel Core i3,500.0,0.0,Intel,Others
Lenovo,Notebook,8.0,2.2,10.283659467741664,0.0,0.0,141.21199808219862,Intel Core i5,0.0,256.0,Intel,Others
Huawei,Ultrabook,,1.05,11.288114524334732,0.0,1.0,,Intel Core i7,0.0,512.0,Intel,Windows
Dell,Ultrabook,8.0,1.4,,0.0,1.0,165.6321180513006,Intel Core i7,0.0,256.0,AMD,Windows
